date,rtn,ibm
08/08/2018,-0.000354681,125.52269
09/08/2018,-0.001646745,125.047638
10/08/2018,-0.000870853,124.797142
13/08/2018,-0.005353275,123.268288
14/08/2018,0.001973551,123.829727
15/08/2018,0.001663019,124.30481
16/08/2018,0.004294194,125.540001
17/08/2018,0.002146158,126.161919
20/08/2018,0.001335915,126.550598
21/08/2018,-0.001603593,126.084183
22/08/2018,-0.002177356,125.453636
23/08/2018,0.000388444,125.565895
24/08/2018,0.001997071,126.14463
27/08/2018,0.001928705,126.706085
28/08/2018,-0.000296175,126.619705
29/08/2018,0.002805358,127.440262
30/08/2018,-0.004765108,126.049622
31/08/2018,0.001633676,126.524673
04/09/2018,-0.002378353,125.833672
05/09/2018,0.002911737,126.680161
06/09/2018,-0.000800187,126.446968
07/09/2018,-0.002797821,125.634987
10/09/2018,0.000596889,125.807777
11/09/2018,0.002497353,126.533302
12/09/2018,0.000237262,126.602448
13/09/2018,0.006995378,128.658203
14/09/2018,-0.001811568,128.12265
17/09/2018,-0.0011433,127.785805
18/09/2018,0.001816307,128.32135
19/09/2018,0.001459125,128.753204
20/09/2018,0.006047063,130.558487
21/09/2018,0.000574245,130.731232
24/09/2018,-0.003804349,129.591049
25/09/2018,-0.003254152,128.623657
26/09/2018,0.007804021,130.955841
27/09/2018,-0.00031522,130.860825
28/09/2018,-0.000832157,130.610321
01/10/2018,0.005110861,132.156448
02/10/2018,0.002123649,132.80426
03/10/2018,-0.001499608,132.346481
04/10/2018,-0.005447773,130.696701
05/10/2018,-0.006593931,128.72731
08/10/2018,-0.001869116,128.174484
09/10/2018,-0.003378745,127.181175
10/10/2018,-0.013632357,123.251007
11/10/2018,-0.01131626,120.080978
12/10/2018,0.005679682,121.661705
15/10/2018,0.000862426,121.903542
16/10/2018,0.012107851,125.349953
17/10/2018,-0.03446033,115.788078
18/10/2018,-0.011490021,112.76487
19/10/2018,-0.004850641,111.512405
22/10/2018,0.003083938,112.307076
23/10/2018,0.003956749,113.334953
24/10/2018,-0.013445653,109.87989
25/10/2018,-0.002602477,109.223412
26/10/2018,-0.005739016,107.789566
29/10/2018,-0.018303408,103.341156
30/10/2018,-0.015670601,99.67878
31/10/2018,0.000112935,99.704704
01/11/2018,0.005235682,100.913979
02/11/2018,-0.0043337,99.911995
05/11/2018,0.01617763,103.703941
06/11/2018,0.010930293,106.347076
07/11/2018,0.006025152,107.832756
08/11/2018,0.000387392,107.928986
09/11/2018,0.000562823,108.068947
12/11/2018,-0.009381256,105.759567
13/11/2018,-0.000215662,105.707062
14/11/2018,-0.00230622,105.147217
15/11/2018,0.004457306,106.231934
