y
1071
648
480
746
965
661
501
768
1065
667
486
780
926
618
483
757
1047
667
495
794
1068
625
499
850
975
623
496
728
933
582
490
708
953
604
508
758
1054
635
538
752
969
655
568
752
1085
692
568
783
